"Label"; "x"; "y"; "z"
3; 0.000000e+00; -1.000000e+00; 0.000000e+00
7; -7.071068e-01; -7.071068e-01; 0.000000e+00
580; -7.001308e-01; -7.140146e-01; 0.000000e+00
581; -6.930873e-01; -7.208536e-01; 0.000000e+00
582; -6.859771e-01; -7.276231e-01; 0.000000e+00
583; -6.788008e-01; -7.343225e-01; 0.000000e+00
584; -6.715590e-01; -7.409511e-01; 0.000000e+00
585; -6.642524e-01; -7.475083e-01; 0.000000e+00
586; -6.568819e-01; -7.539935e-01; 0.000000e+00
587; -6.494480e-01; -7.604060e-01; 0.000000e+00
588; -6.419516e-01; -7.667452e-01; 0.000000e+00
589; -6.343933e-01; -7.730104e-01; 0.000000e+00
590; -6.267738e-01; -7.792012e-01; 0.000000e+00
591; -6.190940e-01; -7.853169e-01; 0.000000e+00
592; -6.113544e-01; -7.913569e-01; 0.000000e+00
593; -6.035560e-01; -7.973207e-01; 0.000000e+00
594; -5.956993e-01; -8.032076e-01; 0.000000e+00
595; -5.877853e-01; -8.090170e-01; 0.000000e+00
596; -5.798146e-01; -8.147485e-01; 0.000000e+00
597; -5.717880e-01; -8.204015e-01; 0.000000e+00
598; -5.637062e-01; -8.259754e-01; 0.000000e+00
599; -5.555702e-01; -8.314697e-01; 0.000000e+00
600; -5.473807e-01; -8.368838e-01; 0.000000e+00
601; -5.391383e-01; -8.422172e-01; 0.000000e+00
602; -5.308440e-01; -8.474696e-01; 0.000000e+00
603; -5.224985e-01; -8.526402e-01; 0.000000e+00
604; -5.141028e-01; -8.577287e-01; 0.000000e+00
605; -5.056574e-01; -8.627344e-01; 0.000000e+00
606; -4.971633e-01; -8.676570e-01; 0.000000e+00
607; -4.886212e-01; -8.724960e-01; 0.000000e+00
608; -4.800321e-01; -8.772509e-01; 0.000000e+00
609; -4.713967e-01; -8.819213e-01; 0.000000e+00
610; -4.627159e-01; -8.865066e-01; 0.000000e+00
611; -4.539905e-01; -8.910065e-01; 0.000000e+00
612; -4.452213e-01; -8.954206e-01; 0.000000e+00
613; -4.364092e-01; -8.997483e-01; 0.000000e+00
614; -4.275551e-01; -9.039893e-01; 0.000000e+00
615; -4.186597e-01; -9.081432e-01; 0.000000e+00
616; -4.097240e-01; -9.122095e-01; 0.000000e+00
617; -4.007488e-01; -9.161879e-01; 0.000000e+00
618; -3.917350e-01; -9.200781e-01; 0.000000e+00
619; -3.826834e-01; -9.238796e-01; 0.000000e+00
620; -3.735950e-01; -9.275919e-01; 0.000000e+00
621; -3.644705e-01; -9.312149e-01; 0.000000e+00
622; -3.553109e-01; -9.347482e-01; 0.000000e+00
623; -3.461170e-01; -9.381914e-01; 0.000000e+00
624; -3.368899e-01; -9.415441e-01; 0.000000e+00
625; -3.276302e-01; -9.448060e-01; 0.000000e+00
626; -3.183389e-01; -9.479769e-01; 0.000000e+00
627; -3.090170e-01; -9.510565e-01; 0.000000e+00
628; -2.996653e-01; -9.540444e-01; 0.000000e+00
629; -2.902847e-01; -9.569404e-01; 0.000000e+00
630; -2.808761e-01; -9.597440e-01; 0.000000e+00
631; -2.714404e-01; -9.624552e-01; 0.000000e+00
632; -2.619786e-01; -9.650736e-01; 0.000000e+00
633; -2.524916e-01; -9.675991e-01; 0.000000e+00
634; -2.429802e-01; -9.700313e-01; 0.000000e+00
635; -2.334454e-01; -9.723699e-01; 0.000000e+00
636; -2.238881e-01; -9.746149e-01; 0.000000e+00
637; -2.143092e-01; -9.767659e-01; 0.000000e+00
638; -2.047096e-01; -9.788227e-01; 0.000000e+00
639; -1.950903e-01; -9.807853e-01; 0.000000e+00
640; -1.854522e-01; -9.826533e-01; 0.000000e+00
641; -1.757963e-01; -9.844266e-01; 0.000000e+00
642; -1.661234e-01; -9.861050e-01; 0.000000e+00
643; -1.564345e-01; -9.876883e-01; 0.000000e+00
644; -1.467305e-01; -9.891765e-01; 0.000000e+00
645; -1.370123e-01; -9.905694e-01; 0.000000e+00
646; -1.272810e-01; -9.918667e-01; 0.000000e+00
647; -1.175374e-01; -9.930685e-01; 0.000000e+00
648; -1.077825e-01; -9.941745e-01; 0.000000e+00
649; -9.801714e-02; -9.951847e-01; 0.000000e+00
650; -8.824237e-02; -9.960990e-01; 0.000000e+00
651; -7.845910e-02; -9.969173e-01; 0.000000e+00
652; -6.866825e-02; -9.976395e-01; 0.000000e+00
653; -5.887080e-02; -9.982656e-01; 0.000000e+00
654; -4.906767e-02; -9.987954e-01; 0.000000e+00
655; -3.925981e-02; -9.992291e-01; 0.000000e+00
656; -2.944817e-02; -9.995663e-01; 0.000000e+00
657; -1.963369e-02; -9.998072e-01; 0.000000e+00
658; -9.817319e-03; -9.999518e-01; 0.000000e+00
